redshift,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_total_sfrd,popiii_fraction_of_total_sfrd,j21_lw_popii,j21_lw_popiii,j21_lw_total,mmol_no_feedback_msun,mmol_lw_only_msun,mmol_lw_vcb_mean_msun,matom_msun,popiii_sfrd_peak_halo_mass_msun,popiii_sfrd_p16_halo_mass_msun,popiii_sfrd_median_halo_mass_msun,popiii_sfrd_p84_halo_mass_msun,popiii_sfr_fraction_90pct_halo_mass_msun,popiii_sfr_fraction_50pct_halo_mass_msun,popiii_sfr_fraction_10pct_halo_mass_msun
1.639697376181e+01,1.064473510300e-03,4.206612150424e-04,7.167521519332e-01,2.832478480668e-01,1.301601990558e+00,1.203276940971e+00,2.504878931529e+00,4.547821151293e+05,2.032776366720e+06,6.585554094189e+06,4.376554281313e+07,9.453872831308e+06,4.382244701980e+06,1.126613206371e+07,3.057241700169e+07,1.332763683646e+07,2.833800183384e+07,7.033616221804e+07
1.666949686684e+01,9.327846018890e-04,4.062351787316e-04,6.966174924292e-01,3.033825075708e-01,1.163512694907e+00,1.185880321254e+00,2.349393016161e+00,4.443013828468e+05,1.927779227625e+06,6.246185457704e+06,4.275693908365e+07,9.453872831308e+06,4.157798092684e+06,1.067701441893e+07,2.889768192419e+07,1.311571052012e+07,2.789294393262e+07,6.908592915405e+07
1.694654939564e+01,8.152310232808e-04,3.914314558873e-04,6.756081649633e-01,3.243918350367e-01,1.036681754049e+00,1.165725769673e+00,2.202407523722e+00,4.340527398485e+05,1.828207888048e+06,5.923610109594e+06,4.177067025513e+07,9.453872831308e+06,3.952743185434e+06,1.010290678673e+07,2.719515990873e+07,1.290546967400e+07,2.745138466167e+07,6.786015904903e+07
1.722820662873e+01,7.097063545799e-04,3.760366040820e-04,6.536596428445e-01,3.463403571555e-01,9.204569578659e-01,1.142802223295e+00,2.063259181161e+00,4.240314074918e+05,1.733696623091e+06,5.616810142364e+06,4.080627645927e+07,9.453872831308e+06,3.763433723027e+06,9.541698178537e+06,2.566020042556e+07,1.269499043174e+07,2.701421709500e+07,6.665256408237e+07
1.751454509781e+01,6.162103637404e-04,3.604671827833e-04,6.309250846748e-01,3.690749153252e-01,8.143203329162e-01,1.117202457911e+00,1.931522790827e+00,4.142326918061e+05,1.643975436154e+06,5.326485465414e+06,3.986330597606e+07,9.453872831308e+06,3.587497010125e+06,9.020084631801e+06,2.458373191869e+07,1.248710177803e+07,2.658083519162e+07,6.545896417602e+07
1.780564260656e+01,5.325963268562e-04,3.443660594493e-04,6.073194645211e-01,3.926805354789e-01,7.178232671195e-01,1.089141664585e+00,1.806964931705e+00,4.046519825194e+05,1.558853132404e+06,5.050934732008e+06,3.894131514019e+07,9.453872831308e+06,3.410836862721e+06,8.533576365928e+06,2.350678777145e+07,1.228205992712e+07,2.615127261768e+07,6.427996160260e+07
1.810157825180e+01,4.589318559696e-04,3.281756166130e-04,5.830612361788e-01,4.169387638212e-01,6.304283926241e-01,1.058791298810e+00,1.689219691434e+00,3.952847520755e+05,1.478093457922e+06,4.788933193077e+06,3.803986824640e+07,5.702923697662e+06,3.172869892903e+06,8.073589474752e+06,2.242504695612e+07,1.207717628696e+07,2.572605289165e+07,6.311676952130e+07
1.840243244494e+01,3.938584960088e-04,3.117953063848e-04,5.581469194566e-01,4.418530805434e-01,5.515418103582e-01,1.026287372554e+00,1.577829182912e+00,3.861265546413e+05,1.401429523609e+06,4.540440466601e+06,3.715853745400e+07,5.702923697662e+06,2.968312263591e+06,7.636737238388e+06,2.133702657005e+07,1.187416422957e+07,2.530569715625e+07,6.197934247314e+07
1.870828693387e+01,3.368759538064e-04,2.954642526441e-04,5.327447952383e-01,4.672552047617e-01,4.805912407256e-01,9.918065357725e-01,1.472397776498e+00,3.771730251059e+05,1.328622459897e+06,4.304935455409e+06,3.629690269051e+07,5.702923697662e+06,2.789876003825e+06,7.219439770305e+06,2.023990823567e+07,1.167397947860e+07,2.488939253259e+07,6.085624477005e+07
1.901922482515e+01,2.867719326663e-04,2.790168300059e-04,5.068533551495e-01,4.931466448505e-01,4.170796953638e-01,9.556088053622e-01,1.372688500726e+00,3.684198780721e+05,1.259498957418e+06,4.080851045266e+06,3.545455155463e+07,5.702923697662e+06,2.631548821451e+06,6.817564485829e+06,1.912892293090e+07,1.147687833764e+07,2.447767146766e+07,5.974798232398e+07
