redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.140959740842e+01,1.000000000000e+10,1.000000000000e+14,1.130299768530e-03,2.648189689642e-47,1.000000000000e+00,2.342909167437e-44,1.095682251991e-01
1.159922867563e+01,1.000000000000e+05,1.000000000000e+06,8.326494944131e-30,1.685025815064e-11,4.941464320423e-19,1.000000000000e+00,1.758409504900e-09
1.159922867563e+01,1.000000000000e+06,1.000000000000e+07,2.081543344165e-07,4.825846243354e-05,4.294798116673e-03,9.957052018833e-01,5.057736138713e-03
1.159922867563e+01,1.000000000000e+07,1.000000000000e+08,6.328674415831e-04,4.373384134154e-04,5.913511299039e-01,4.086488700961e-01,1.116813837987e-01
1.159922867563e+01,1.000000000000e+08,1.000000000000e+09,3.772653868819e-03,4.865522659883e-05,9.872673930886e-01,1.273260691138e-02,3.987728956122e-01
1.159922867563e+01,1.000000000000e+09,1.000000000000e+10,3.690854549074e-03,1.024324033424e-10,9.999999722470e-01,2.775303094110e-08,3.851593158036e-01
1.159922867563e+01,1.000000000000e+10,1.000000000000e+14,9.518338442575e-04,2.760119948754e-48,1.000000000000e+00,2.899791770808e-45,9.932866688838e-02
1.179201167696e+01,1.000000000000e+05,1.000000000000e+06,2.998382924875e-29,3.494545854949e-11,8.580179082866e-19,1.000000000000e+00,3.924943998411e-09
1.179201167696e+01,1.000000000000e+06,1.000000000000e+07,2.411337673378e-07,5.397178889836e-05,4.447902003452e-03,9.955520979965e-01,6.088993943282e-03
1.179201167696e+01,1.000000000000e+07,1.000000000000e+08,6.323134677842e-04,4.382499565015e-04,5.906361579708e-01,4.093638420292e-01,1.202417041149e-01
1.179201167696e+01,1.000000000000e+08,1.000000000000e+09,3.591993557605e-03,4.508271020679e-05,9.876046838485e-01,1.239531615154e-02,4.085028859728e-01
1.179201167696e+01,1.000000000000e+09,1.000000000000e+10,3.342407821708e-03,7.145696614703e-11,9.999999786211e-01,2.137888864287e-08,3.754068295295e-01
1.179201167696e+01,1.000000000000e+10,1.000000000000e+14,7.991680318117e-04,2.722061887524e-49,1.000000000000e+00,3.406119588334e-46,8.975958251454e-02
1.198799879528e+01,1.000000000000e+05,1.000000000000e+06,1.048599645616e-28,7.026594253495e-11,1.492329865346e-18,1.000000000000e+00,8.521351277576e-09
1.198799879528e+01,1.000000000000e+06,1.000000000000e+07,2.778874046753e-07,6.002927620764e-05,4.607867258718e-03,9.953921327413e-01,7.313621751236e-03
1.198799879528e+01,1.000000000000e+07,1.000000000000e+08,6.293917580271e-04,4.375069097402e-04,5.899264635359e-01,4.100735364641e-01,1.293858446587e-01
1.198799879528e+01,1.000000000000e+08,1.000000000000e+09,3.404334544555e-03,4.157306841220e-05,9.879355243722e-01,1.206447562777e-02,4.178950453210e-01
1.198799879528e+01,1.000000000000e+09,1.000000000000e+10,3.007713905538e-03,4.922753935828e-11,9.999999836329e-01,1.636709477651e-08,3.647540504886e-01
1.198799879528e+01,1.000000000000e+10,1.000000000000e+14,6.650410843406e-04,2.524848946081e-50,1.000000000000e+00,3.796530779124e-47,8.065142925916e-02
1.218724328406e+01,1.000000000000e+05,1.000000000000e+06,3.568205375207e-28,1.374364274599e-10,2.596258823919e-18,1.000000000000e+00,1.799063276981e-08
1.218724328406e+01,1.000000000000e+06,1.000000000000e+07,3.191318546520e-07,6.652853504927e-05,4.774016348404e-03,9.952259836516e-01,8.750459023229e-03
1.218724328406e+01,1.000000000000e+07,1.000000000000e+08,6.255109385984e-04,4.360077218132e-04,5.892604265250e-01,4.107395734750e-01,1.389543714918e-01
1.218724328406e+01,1.000000000000e+08,1.000000000000e+09,3.220854760057e-03,3.824625995750e-05,9.882647823057e-01,1.173521769427e-02,4.266211709256e-01
1.218724328406e+01,1.000000000000e+09,1.000000000000e+10,2.700140031348e-03,3.359377941953e-11,9.999999875585e-01,1.244149511194e-08,3.534523505392e-01
1.218724328406e+01,1.000000000000e+10,1.000000000000e+14,5.517250528982e-04,2.209899815314e-51,1.000000000000e+00,4.005436772728e-48,7.222163002956e-02
1.238979928188e+01,1.000000000000e+05,1.000000000000e+06,1.180186451353e-27,2.615931217858e-10,4.511534719630e-18,1.000000000000e+00,3.708684578913e-08
1.238979928188e+01,1.000000000000e+06,1.000000000000e+07,3.645053358288e-07,7.334933521091e-05,4.944869689671e-03,9.950551303103e-01,1.045063348080e-02
1.238979928188e+01,1.000000000000e+07,1.000000000000e+08,6.191432089167e-04,4.328004460038e-04,5.885706957979e-01,4.114293042021e-01,1.491372244138e-01
1.238979928188e+01,1.000000000000e+08,1.000000000000e+09,3.032141425150e-03,3.500556104281e-05,9.885869307208e-01,1.141306927917e-02,4.348386781464e-01
1.238979928188e+01,1.000000000000e+09,1.000000000000e+10,2.407418905140e-03,2.262023873627e-11,9.999999906039e-01,9.396054203709e-09,3.413070416919e-01
1.238979928188e+01,1.000000000000e+10,1.000000000000e+14,4.533047760589e-04,1.813018434690e-52,1.000000000000e+00,3.999557318705e-49,6.426638518018e-02
1.259572182710e+01,1.000000000000e+05,1.000000000000e+06,3.801296290189e-27,4.845170136443e-10,7.845537273495e-18,1.000000000000e+00,7.438941536367e-08
1.259572182710e+01,1.000000000000e+06,1.000000000000e+07,4.147964450425e-07,8.056128290009e-05,5.122456513047e-03,9.948775434870e-01,1.243251120455e-02
1.259572182710e+01,1.000000000000e+07,1.000000000000e+08,6.117267454844e-04,4.287343448281e-04,5.879381277975e-01,4.120618722025e-01,1.597452515337e-01
1.259572182710e+01,1.000000000000e+08,1.000000000000e+09,2.848503575751e-03,3.195270902411e-05,9.889070668446e-01,1.109293315542e-02,4.422454794587e-01
1.259572182710e+01,1.000000000000e+09,1.000000000000e+10,2.140334080802e-03,1.507543468865e-11,9.999999929565e-01,7.043496021339e-09,3.286122005865e-01
1.259572182710e+01,1.000000000000e+10,1.000000000000e+14,3.710240357215e-04,1.398814629674e-53,1.000000000000e+00,3.770145583570e-50,5.696448282711e-02
1.280506687285e+01,1.000000000000e+05,1.000000000000e+06,1.191455556575e-26,8.730414385475e-10,1.364718218366e-17,1.000000000000e+00,1.455513424996e-07
1.280506687285e+01,1.000000000000e+06,1.000000000000e+07,4.695664190210e-07,8.802238808480e-05,5.306317638184e-03,9.946936823618e-01,1.475316314868e-02
1.280506687285e+01,1.000000000000e+07,1.000000000000e+08,6.021276525156e-04,4.230855825157e-04,5.873194296962e-01,4.126805703038e-01,1.709210538224e-01
1.280506687285e+01,1.000000000000e+08,1.000000000000e+09,2.663651750054e-03,2.902382522317e-05,9.892211949001e-01,1.077880509990e-02,4.489163143843e-01
1.280506687285e+01,1.000000000000e+09,1.000000000000e+10,1.890817068509e-03,9.913358160748e-12,9.999999947571e-01,5.242896456711e-09,3.152324185704e-01
1.280506687285e+01,1.000000000000e+10,1.000000000000e+14,3.009695146341e-04,1.009263374971e-54,1.000000000000e+00,3.353374099029e-51,5.017690452280e-02
1.301789130222e+01,1.000000000000e+05,1.000000000000e+06,3.638734994260e-26,1.533809247520e-09,2.372351712016e-17,1.000000000000e+00,2.778539943949e-07
